ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  12:19:18
DATE:04/18/2025
TIME:12:19:18

CONDITIONS:

ID:	VDD	
UNIT:	SMU3	
MODE: STEP	
START:	10	
STOP:	4	
PNTS:	4	
STEP:	-2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	10	
STOP:	0	
PNTS:	51	
STEP:	-0.2

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU4	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  12:19:18

VI0P	II0P	II0P2	II0P3	II0P4	IVSS	IVSS2	IVSS3	IVSS4	VOUT	VOUT2	VOUT3	VOUT4	IVDD	IVDD2	IVDD3	IVDD4
4.80000000E+000	-4.94010000E-011	-9.91010000E-003	-3.72710000E-003	2.48650000E-003	-1.10150000E-004	-2.07390000E-006	-6.66910000E-008	-3.13050000E-010	9.99460000E+000	7.43800000E+000	5.79000000E+000	4.13990000E+000	1.09850000E-004	9.91150000E-003	3.72650000E-003	-2.48600000E-003
4.60000000E+000	-4.49510000E-011	-1.05350000E-002	-4.34760000E-003	1.86550000E-003	-1.04950000E-004	-2.00350000E-006	-6.04450000E-008	-2.89500000E-010	9.99460000E+000	7.40280000E+000	5.75590000E+000	4.10500000E+000	1.05000000E-004	1.05300000E-002	4.34760000E-003	-1.86450000E-003
4.40000000E+000	-5.09490000E-011	-1.11500000E-002	-4.96860000E-003	1.24400000E-003	-9.99530000E-005	-1.81550000E-006	-5.89440000E-008	-2.84150000E-010	9.99610000E+000	7.36890000E+000	5.72090000E+000	4.06880000E+000	9.98450000E-005	1.11500000E-002	4.96860000E-003	-1.24300000E-003
4.20000000E+000	-6.05490000E-011	-1.17650000E-002	-5.58950000E-003	6.22660000E-004	-9.50320000E-005	-1.70650000E-006	-5.60790000E-008	-2.50750000E-010	9.99460000E+000	7.33300000E+000	5.68600000E+000	4.03490000E+000	9.49350000E-005	1.17650000E-002	5.58850000E-003	-6.22390000E-004
4.00000000E+000	-1.12100000E-010	-1.23800000E-002	-6.20960000E-003	1.04950000E-006	-9.09160000E-005	-1.54450000E-006	-5.36400000E-008	-2.50950000E-010	9.99610000E+000	7.29790000E+000	5.65090000E+000	3.99990000E+000	9.08670000E-005	1.23850000E-002	6.20910000E-003	-1.05800000E-006
3.80000000E+000	-1.11400000E-010	-1.30000000E-002	-6.82950000E-003	-6.20690000E-004	-8.64750000E-005	-1.41800000E-006	-5.08010000E-008	-2.76100000E-010	9.99610000E+000	7.26290000E+000	5.61690000E+000	3.96500000E+000	8.65650000E-005	1.29950000E-002	6.82950000E-003	6.20390000E-004
3.60000000E+000	-1.98250000E-010	-1.36150000E-002	-7.44960000E-003	-1.24200000E-003	-8.33050000E-005	-1.36800000E-006	-4.38700000E-008	-2.36200000E-010	9.99710000E+000	7.22680000E+000	5.58200000E+000	3.92990000E+000	8.33460000E-005	1.36100000E-002	7.45010000E-003	1.24200000E-003
3.40000000E+000	-2.83850000E-010	-1.42300000E-002	-8.06950000E-003	-1.86300000E-003	-7.96210000E-005	-1.23650000E-006	-4.15460000E-008	-2.26600000E-010	9.99710000E+000	7.19190000E+000	5.54690000E+000	3.89490000E+000	7.95420000E-005	1.42250000E-002	8.06950000E-003	1.86300000E-003
3.20000000E+000	-5.20910000E-010	-1.48450000E-002	-8.68890000E-003	-2.48400000E-003	-7.66400000E-005	-1.08750000E-006	-3.91500000E-008	-2.05900000E-010	9.99710000E+000	7.15700000E+000	5.51200000E+000	3.86000000E+000	7.66550000E-005	1.48400000E-002	8.68890000E-003	2.48400000E-003
3.00000000E+000	-8.19450000E-010	-1.54600000E-002	-9.30830000E-003	-3.10550000E-003	-7.38280000E-005	-1.02800000E-006	-3.74000000E-008	-1.93100000E-010	9.99710000E+000	7.12180000E+000	5.47710000E+000	3.82500000E+000	7.37760000E-005	1.54550000E-002	9.30790000E-003	3.10500000E-003
2.80000000E+000	-1.52540000E-009	-1.60700000E-002	-9.92770000E-003	-3.72650000E-003	-7.18650000E-005	-1.00090000E-006	-3.44640000E-008	-2.00400000E-010	9.99710000E+000	7.08590000E+000	5.44190000E+000	3.78990000E+000	7.16780000E-005	1.60700000E-002	9.92770000E-003	3.72650000E-003
2.60000000E+000	-2.77940000E-009	-1.66850000E-002	-1.05500000E-002	-4.34710000E-003	-7.10080000E-005	-9.31030000E-007	-3.18600000E-008	-1.94350000E-010	9.99710000E+000	7.05100000E+000	5.40700000E+000	3.75500000E+000	7.11790000E-005	1.66850000E-002	1.05450000E-002	4.34760000E-003
2.40000000E+000	-5.32940000E-009	-1.72950000E-002	-1.11650000E-002	-4.96790000E-003	-7.02700000E-005	-8.69450000E-007	-2.72050000E-008	-1.61900000E-010	9.99710000E+000	7.01590000E+000	5.37180000E+000	3.72000000E+000	7.03450000E-005	1.72900000E-002	1.11650000E-002	4.96790000E-003
2.20000000E+000	-8.29590000E-009	-1.79050000E-002	-1.17800000E-002	-5.58800000E-003	-6.97710000E-005	-7.80800000E-007	-2.61350000E-008	-1.38000000E-010	9.99710000E+000	6.98000000E+000	5.33790000E+000	3.68490000E+000	6.96630000E-005	1.79050000E-002	1.17850000E-002	5.58800000E-003
2.00000000E+000	-1.28600000E-008	-1.85160000E-002	-1.24000000E-002	-6.20910000E-003	-6.81090000E-005	-7.47390000E-007	-2.35100000E-008	-1.16300000E-010	9.99800000E+000	6.94480000E+000	5.30300000E+000	3.65100000E+000	6.80830000E-005	1.85160000E-002	1.24000000E-002	6.20870000E-003
1.80000000E+000	-2.15850000E-008	-1.91250000E-002	-1.30150000E-002	-6.82900000E-003	-6.74240000E-005	-7.22240000E-007	-2.15200000E-008	-8.46010000E-011	9.99710000E+000	6.90990000E+000	5.26680000E+000	3.61500000E+000	6.72640000E-005	1.91250000E-002	1.30150000E-002	6.82850000E-003
1.60000000E+000	-3.52190000E-008	-1.97350000E-002	-1.36350000E-002	-7.44870000E-003	-6.66750000E-005	-6.41830000E-007	-1.97800000E-008	-8.56490000E-011	9.99710000E+000	6.87400000E+000	5.23290000E+000	3.58000000E+000	6.65630000E-005	1.97350000E-002	1.36300000E-002	7.44870000E-003
1.40000000E+000	-5.64790000E-008	-2.03450000E-002	-1.42500000E-002	-8.06860000E-003	-6.55200000E-005	-6.06990000E-007	-1.87800000E-008	-7.67990000E-011	9.99710000E+000	6.83790000E+000	5.19800000E+000	3.54490000E+000	6.57480000E-005	2.03400000E-002	1.42450000E-002	8.06860000E-003
1.20000000E+000	-8.88060000E-008	-2.09550000E-002	-1.48650000E-002	-8.68750000E-003	-6.45290000E-005	-5.66800000E-007	-1.87700000E-008	-8.01490000E-011	9.99800000E+000	6.80300000E+000	5.16280000E+000	3.51100000E+000	6.44880000E-005	2.09500000E-002	1.48600000E-002	8.68750000E-003
1.00000000E+000	-2.73600000E-002	-2.15600000E-002	-1.54800000E-002	-9.30690000E-003	-1.76500000E-005	-5.29480000E-007	-1.51650000E-008	-8.76990000E-011	8.38670000E+000	6.76780000E+000	5.12790000E+000	3.47500000E+000	2.74050000E-002	2.15600000E-002	1.54800000E-002	9.30690000E-003
